first,label,label
51,15 de febrero de 2018,quince de febrero del año dos mil dieciocho
52,"jueves, 15 de febrero de 2018","jueves, quince de febrero del año dos mil dieciocho"
53,Colón descubrió América el 12 de octubre de 1492.,Colón descubrió América el doce de octubre del año mil cuatrocientos noventa y dos.
54,En el 2050 cualquiera podrá comprar un avión.,En el dos mil cincuenta cualquiera podrá comprar un avión.
56,¿Cuál es tu C.P.?,¿Cuál es tu código postal?
57,Abre la pág. 48.,Abre la página cuarenta y ocho.
58,Toma la ctra. Madrid-Barcelona.,Toma la carretera Madrid-Barcelona.
60,"La exposición a estos medios puede conducir a cansancio, nauseas, taquicardias etc.","La exposición a estos medios puede conducir a cansancio, nauseas, taquicardias etcétera"
61,Es muy peligroso ir a 120 km/h.,Es muy peligroso ir a ciento veinte kilómetros por hora.
62,33+27,treinta y tres más veintisiete
63,"Para ir a Alcalá, puedes tomar RENFE.","Para ir a Alcalá, puedes tomar renfe."
66,Converción de CUP a MXN.,Converción de pesos cubanos a pesos mexicanos.
67,No me gusta la ensalada pq lleva guisantes.,No me gusta la ensalada porque lleva guisantes.
68,Qué wpa estás.,Qué guapa estás.
69,"Marta, tqm.","Marta, te quiero mucho."
70,¿Pa qué te sirve esto?,¿Pa qué te sirve esto?
71,El barco va a 10 ft/s.,El barco va a diez pies por segundo.
72,"Por favor, 15,70€","Por favor, quince euros, setenta céntimos"
73,"«Con calma» de Daddy Yankee ft. Snow del álbum El Disco Duro",""Con calma" de Daddy Yankee con Snow del álbum El Disco Duro"
74,Actualiza la aplicación antes del día 13 de septiembre.,Actualiza la aplicación antes del día trece de septiembre.
76,"¿Quieres abrir www.facebook.com?","¿Quieres abrir uve doble uve doble uve doble, punto feisbuk punto com?"
77,"Para configurar su SIM, abre los ajustes.","Para configurar su sim, abre los ajustes."
78,SuperCharge es un cargador rápido de Huawei.,Supercharsh es un cargador rápido de huágüei.
80,uve doble uve doble uve doble feisbuk punto com,uve doble uve doble uve doble feisbuk punto com
82,01.02.2003,uno de febrero del año dos mil tres
83,siglo XX,siglo veinte
84,"0,3","cero punto tres"
85,"20€ 20,50€ 50,20€","veinte euros veinte euros, cincuenta céntimos cincuenta euros, veinte céntimos"
86,"H2O","hache, dos O"
87,00:00:00,cero horas cero minutos cero segundos
88,aaa bbb,aaa bbb
90,"Elices A. A., Elices Antoni J. Pérez","Elices ah, ah,, Elices Antoni jota, Pérez"
91,"S.T.A.L.K.E.R.","ese te ah ele kca e erre,"
92,+7(000)231-22-22,más siete cero cero cero doscientos treinta y uno veintidós veintidós
94,"10K€ ; 23.000.000€ ; 1M$","diez mil euros ; veintitrés millones de euros ; un millón de dólares"
96,Está a 20 m de aquí.,Está a veinte metros de aquí.
97,"10.260.356,76€","diez millones doscientos sesenta mil trescientos cincuenta y seis euros, setenta y seis céntimos"
98,Hay que añadir 200 ml de leche.,Hay que añadir doscientos mililitros de leche.
99,23C,veintitrés grados Celsius
100,El programa ocupa 3GB.,El programa ocupa tres gigabaits.
200,"Los mexicanos de Oaxaca se llaman oaxacanos.","Los mejicanos de Oajaca se llaman oajacanos."
201,"Su xocoyote vive en Xola","Su shocoyote vive en Shola"
202,"Las palabras hámster, hawaiano, hachís, yihad, harakiri, Yokohama no son típicas para el español.","Las palabras jámster, jawaiano, jachís, yijad, jaraquiri, Yoqojama no son típicas para el español."
203,"Me gusta escuchar jazz y comer pizza por la noche porque soy mánager de un start-up y mi trabajo me pone nervioso.","Me gusta escuchar yas y comer pitsa por la noche porque soy mánayer de un estart ap y mi trabajo me pone nervioso."
1001,"1er grado","primer grado"
1002,"Tienes una cita a las 17:30. Tienes que salir de casa a la 13:00.","Tienes una cita a las diecisiete horas treinta minutos. Tienes que salir de casa a la trece horas."
1003,"La bolsa pesa 1 kg.","La bolsa pesa un kilogramo"
1004,"D. Castro es el decano aquí. D.ª Engo, Dña. Engo","don Castro es el decano aquí. Doña Engo, Doña Engo"
1005,"Este libro vale 2£.","Este libro vale dos libras esterlinas."
1006,"¿Cuántos ¢ son 1€? ¿Cuántos ¢ son 5$?","¿Cuántos céntimos son un euro? ¿Cuántos centavos son cinco dólares?"
1007,"LVII","cincuenta y siete"
1008,".789","punto siete ocho nueve"
